::[info]::[18:33:47,620]::[154310]::Starting P2P aab1::
::[info]::[18:34:12,269]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 15)::
::[info]::[18:34:12,442]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 23)::
::[info]::[18:34:13,103]::[154310]::aab1 on_clock(): 1697567653.1024222 | publish ('aab1', 24)::
::[info]::[18:34:13,103]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 24)::
::[info]::[18:34:13,270]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 16)::
::[info]::[18:34:13,443]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 24)::
::[info]::[18:34:14,104]::[154310]::aab1 on_clock(): 1697567654.1037438 | publish ('aab1', 25)::
::[info]::[18:34:14,105]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 25)::
::[info]::[18:34:14,272]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 17)::
::[info]::[18:34:14,444]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 25)::
::[info]::[18:34:15,105]::[154310]::aab1 on_clock(): 1697567655.1050532 | publish ('aab1', 26)::
::[info]::[18:34:15,106]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 26)::
::[info]::[18:34:15,273]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 18)::
::[info]::[18:34:15,446]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 26)::
::[info]::[18:34:16,106]::[154310]::aab1 on_clock(): 1697567656.106355 | publish ('aab1', 27)::
::[info]::[18:34:16,107]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 27)::
::[info]::[18:34:16,274]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 19)::
::[info]::[18:34:16,447]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 27)::
::[info]::[18:34:17,108]::[154310]::aab1 on_clock(): 1697567657.1077065 | publish ('aab1', 28)::
::[info]::[18:34:17,109]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 28)::
::[info]::[18:34:17,276]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 20)::
::[info]::[18:34:17,448]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 28)::
::[info]::[18:34:18,109]::[154310]::aab1 on_clock(): 1697567658.1090186 | publish ('aab1', 29)::
::[info]::[18:34:18,110]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 29)::
::[info]::[18:34:18,277]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 21)::
::[info]::[18:34:18,449]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 29)::
::[info]::[18:34:19,110]::[154310]::aab1 on_clock(): 1697567659.1103234 | publish ('aab1', 30)::
::[info]::[18:34:19,111]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 30)::
::[info]::[18:34:19,278]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 22)::
::[info]::[18:34:19,451]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 30)::
::[info]::[18:34:20,112]::[154310]::aab1 on_clock(): 1697567660.1116638 | publish ('aab1', 31)::
::[info]::[18:34:20,113]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('aab1', 31)::
::[info]::[18:34:20,280]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('11c5', 23)::
::[info]::[18:34:20,452]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('2f37', 31)::
::[info]::[18:34:20,998]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('5eb7', 0)::
::[info]::[18:34:21,113]::[154310]::aab1 on_clock(): 1697567661.112992 | publish ('aab1', 32)::
::[info]::[18:34:21,114]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('aab1', 32)::
::[info]::[18:34:21,281]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('11c5', 24)::
::[info]::[18:34:21,453]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('2f37', 32)::
::[info]::[18:34:22,000]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('5eb7', 1)::
::[info]::[18:34:22,114]::[154310]::aab1 on_clock(): 1697567662.1143014 | publish ('aab1', 33)::
::[info]::[18:34:22,115]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('aab1', 33)::
::[info]::[18:34:22,282]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('11c5', 25)::
::[info]::[18:34:22,455]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('2f37', 33)::
::[info]::[18:34:23,002]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('5eb7', 2)::
::[info]::[18:34:23,116]::[154310]::aab1 on_clock(): 1697567663.115651 | publish ('aab1', 34)::
::[info]::[18:34:23,117]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('aab1', 34)::
::[info]::[18:34:23,284]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('11c5', 26)::
::[info]::[18:34:23,456]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('2f37', 34)::
::[info]::[18:34:24,004]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('5eb7', 3)::
::[info]::[18:34:24,117]::[154310]::aab1 on_clock(): 1697567664.1169894 | publish ('aab1', 35)::
::[info]::[18:34:24,119]::[154310]::aab1 on_p2p_sub() | connected: 4 | msg: ('aab1', 35)::
