::[info]::[18:33:46,681]::[152234]::Starting P2P 11c5::
::[info]::[18:34:17,276]::[152234]::11c5 on_clock(): 1697567657.2758708 | publish ('11c5', 20)::
::[info]::[18:34:17,277]::[152234]::11c5 on_p2p_sub() | connected: 3 | msg: ('11c5', 20)::
::[info]::[18:34:17,450]::[152234]::11c5 on_p2p_sub() | connected: 3 | msg: ('2f37', 28)::
::[info]::[18:34:18,111]::[152234]::11c5 on_p2p_sub() | connected: 3 | msg: ('aab1', 29)::
::[info]::[18:34:18,277]::[152234]::11c5 on_clock(): 1697567658.2771575 | publish ('11c5', 21)::
::[info]::[18:34:18,278]::[152234]::11c5 on_p2p_sub() | connected: 3 | msg: ('11c5', 21)::
::[info]::[18:34:18,451]::[152234]::11c5 on_p2p_sub() | connected: 3 | msg: ('2f37', 29)::
::[info]::[18:34:19,113]::[152234]::11c5 on_p2p_sub() | connected: 3 | msg: ('aab1', 30)::
::[info]::[18:34:19,279]::[152234]::11c5 on_clock(): 1697567659.2784553 | publish ('11c5', 22)::
::[info]::[18:34:19,279]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 22)::
::[info]::[18:34:19,452]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 30)::
::[info]::[18:34:20,114]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 31)::
::[info]::[18:34:20,280]::[152234]::11c5 on_clock(): 1697567660.2797523 | publish ('11c5', 23)::
::[info]::[18:34:20,281]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 23)::
::[info]::[18:34:20,453]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 31)::
::[info]::[18:34:21,001]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 0)::
::[info]::[18:34:21,115]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 32)::
::[info]::[18:34:21,281]::[152234]::11c5 on_clock(): 1697567661.281054 | publish ('11c5', 24)::
::[info]::[18:34:21,282]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 24)::
::[info]::[18:34:21,455]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 32)::
::[info]::[18:34:22,002]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 1)::
::[info]::[18:34:22,117]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 33)::
::[info]::[18:34:22,282]::[152234]::11c5 on_clock(): 1697567662.2823534 | publish ('11c5', 25)::
::[info]::[18:34:22,283]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 25)::
::[info]::[18:34:22,456]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 33)::
::[info]::[18:34:23,004]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 2)::
::[info]::[18:34:23,118]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 34)::
::[info]::[18:34:23,284]::[152234]::11c5 on_clock(): 1697567663.2836516 | publish ('11c5', 26)::
::[info]::[18:34:23,285]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 26)::
::[info]::[18:34:23,457]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 34)::
::[info]::[18:34:24,006]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 3)::
::[info]::[18:34:24,120]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 35)::
::[info]::[18:34:24,285]::[152234]::11c5 on_clock(): 1697567664.284944 | publish ('11c5', 27)::
::[info]::[18:34:24,286]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 27)::
::[info]::[18:34:24,459]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 35)::
::[info]::[18:34:25,008]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 4)::
::[info]::[18:34:25,121]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 36)::
::[info]::[18:34:25,286]::[152234]::11c5 on_clock(): 1697567665.2862296 | publish ('11c5', 28)::
::[info]::[18:34:25,287]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 28)::
::[info]::[18:34:25,460]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 36)::
::[info]::[18:34:26,010]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 5)::
::[info]::[18:34:26,123]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 37)::
::[info]::[18:34:26,288]::[152234]::11c5 on_clock(): 1697567666.2875268 | publish ('11c5', 29)::
::[info]::[18:34:26,288]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 29)::
::[info]::[18:34:26,461]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 37)::
::[info]::[18:34:27,011]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 6)::
::[info]::[18:34:27,124]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 38)::
::[info]::[18:34:27,289]::[152234]::11c5 on_clock(): 1697567667.2888234 | publish ('11c5', 30)::
::[info]::[18:34:27,290]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 30)::
::[info]::[18:34:27,463]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 38)::
::[info]::[18:34:28,013]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 7)::
::[info]::[18:34:28,125]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 39)::
::[info]::[18:34:28,290]::[152234]::11c5 on_clock(): 1697567668.2901232 | publish ('11c5', 31)::
::[info]::[18:34:28,291]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 31)::
::[info]::[18:34:28,464]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 39)::
::[info]::[18:34:29,015]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 8)::
::[info]::[18:34:29,126]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 40)::
::[info]::[18:34:29,291]::[152234]::11c5 on_clock(): 1697567669.2909598 | publish ('11c5', 32)::
::[info]::[18:34:29,292]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 32)::
::[info]::[18:34:29,465]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 40)::
::[info]::[18:34:30,017]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 9)::
::[info]::[18:34:30,128]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 41)::
::[info]::[18:34:30,292]::[152234]::11c5 on_clock(): 1697567670.292266 | publish ('11c5', 33)::
::[info]::[18:34:30,293]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 33)::
::[info]::[18:34:30,466]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 41)::
::[info]::[18:34:31,018]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 10)::
::[info]::[18:34:31,129]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 42)::
::[info]::[18:34:31,294]::[152234]::11c5 on_clock(): 1697567671.293561 | publish ('11c5', 34)::
::[info]::[18:34:31,295]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 34)::
::[info]::[18:34:31,468]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 42)::
::[info]::[18:34:32,020]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 11)::
::[info]::[18:34:32,130]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 43)::
::[info]::[18:34:32,295]::[152234]::11c5 on_clock(): 1697567672.2948816 | publish ('11c5', 35)::
::[info]::[18:34:32,296]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 35)::
::[info]::[18:34:32,469]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 43)::
::[info]::[18:34:33,022]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 12)::
::[info]::[18:34:33,132]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 44)::
::[info]::[18:34:33,296]::[152234]::11c5 on_clock(): 1697567673.2961798 | publish ('11c5', 36)::
::[info]::[18:34:33,297]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 36)::
::[info]::[18:34:33,470]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 44)::
::[info]::[18:34:34,024]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 13)::
::[info]::[18:34:34,133]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 45)::
::[info]::[18:34:34,298]::[152234]::11c5 on_clock(): 1697567674.2974665 | publish ('11c5', 37)::
::[info]::[18:34:34,299]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 37)::
::[info]::[18:34:34,471]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 45)::
::[info]::[18:34:35,026]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 14)::
::[info]::[18:34:35,134]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 46)::
::[info]::[18:34:35,299]::[152234]::11c5 on_clock(): 1697567675.298763 | publish ('11c5', 38)::
::[info]::[18:34:35,300]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 38)::
::[info]::[18:34:35,473]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('2f37', 46)::
::[info]::[18:34:36,027]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('5eb7', 15)::
::[info]::[18:34:36,136]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('aab1', 47)::
::[info]::[18:34:36,300]::[152234]::11c5 on_clock(): 1697567676.3000946 | publish ('11c5', 39)::
::[info]::[18:34:36,301]::[152234]::11c5 on_p2p_sub() | connected: 4 | msg: ('11c5', 39)::
